Auxiliary Dataset D1.  Modeled motions for the hotspots listed in Table S6.
---------------------------------------------
Hotspot   Age      Lat        Lon
East_Australia   5.0000   -38.1852   143.2607
East_Australia   5.8000   -38.1055   143.3403
East_Australia   9.6000   -38.1668   143.4496
East_Australia   10.2000   -38.0655   143.4762
East_Australia   14.4000   -38.0162   143.6720
East_Australia   15.8000   -37.9316   143.7458
East_Australia   16.8000   -37.8436   143.8325
East_Australia   17.8000   -37.7540   143.9165
East_Australia   19.0000   -37.6750   143.9960
East_Australia   20.2000   -37.5784   144.0717
East_Australia   21.0000   -37.4605   144.1331
East_Australia   22.6000   -37.3854   144.2364
East_Australia   24.2000   -37.2980   144.3406
East_Australia   25.6000   -37.2183   144.4243
East_Australia   27.2000   -37.1284   144.5099
East_Australia   29.0000   -37.0523   144.6012
East_Australia   31.4000   -37.0269   144.7279
East_Australia   32.0000   -36.9385   144.7971
East_Australia   32.8000   -36.8470   144.8827
East_Australia   33.4000   -36.7467   144.9609
East_Australia   34.4000   -36.6802   145.0703
East_Australia   34.8000   -36.5732   145.1407
East_Australia   35.8000   -36.5454   145.2621
East_Australia   36.4000   -36.4858   145.3630
East_Australia   37.6000   -36.4606   145.5641
East_Australia   38.0000   -36.3903   145.6852
East_Australia   38.8000   -36.4520   145.8095
East_Australia   39.4000   -36.4598   145.9472
East_Australia   40.2000   -36.4990   146.1338
East_Australia   40.8000   -36.5865   146.2319
East_Australia   41.2000   -36.5709   146.3685
East_Australia   41.8000   -36.5955   146.5068
East_Australia   42.2000   -36.5821   146.6471
East_Australia   42.6000   -36.5751   146.7929
East_Australia   43.2000   -36.6178   146.9432
East_Australia   43.6000   -36.6227   147.0966
East_Australia   44.2000   -36.6607   147.2908
East_Australia   44.6000   -36.6811   147.4473
East_Australia   45.0000   -36.7219   147.5671
East_Australia   45.4000   -36.7517   147.7296
East_Australia   46.0000   -36.8146   147.9427
East_Australia   46.4000   -36.8721   148.0453
East_Australia   46.8000   -36.9214   148.1906
East_Australia   47.2000   -36.9782   148.3287
East_Australia   47.6000   -37.0422   148.4594
East_Australia   48.0000   -37.1177   148.5435
East_Australia   48.4000   -37.1923   148.6782
East_Australia   49.0000   -37.3148   148.7787
East_Australia   49.8000   -37.4807   148.8725
East_Australia   50.0000   -37.5239   148.8759
Easter   0.0000   -27.0354   -109.3223
Easter   0.4000   -27.0233   -109.3483
Easter   1.2000   -26.9803   -109.2211
Easter   1.8000   -26.9480   -109.1021
Easter   2.8000   -26.8998   -108.9561
Easter   3.6000   -26.8637   -108.8294
Easter   4.6000   -26.8224   -108.6853
Easter   5.4000   -26.7838   -108.4401
Easter   5.4000   -26.7922   -108.5723
Easter   8.0000   -26.6821   -108.2606
Easter   8.6000   -26.6450   -108.1513
Easter   9.6000   -26.5824   -108.2500
Easter   10.4000   -26.5125   -108.3608
Easter   10.8000   -26.4769   -108.4727
Easter   11.4000   -26.4382   -108.5881
Easter   13.8000   -26.4407   -108.4748
Easter   16.4000   -26.5315   -108.4276
Easter   18.0000   -26.5714   -108.3197
Easter   20.6000   -26.4926   -108.5246
Easter   21.0000   -26.4461   -108.6387
Easter   22.4000   -26.3847   -108.7413
Easter   24.6000   -26.3360   -108.8570
Easter   26.2000   -26.3063   -108.9719
Easter   27.2000   -26.2305   -109.0655
Easter   28.8000   -26.1700   -109.1750
Easter   30.0000   -26.0629   -109.2176
Easter   32.2000   -25.9441   -109.2277
Easter   36.8000   -26.0324   -109.4012
Easter   40.0000   -26.1236   -109.2536
Easter   40.4000   -26.0995   -109.1366
Easter   41.2000   -26.1673   -109.0224
Easter   43.0000   -26.2459   -109.1849
Easter   44.0000   -26.2807   -109.2913
Easter   45.0000   -26.3453   -109.4445
Easter   45.8000   -26.3613   -109.5574
Easter   46.4000   -26.4029   -109.6749
Easter   47.0000   -26.4171   -109.7888
Easter   47.6000   -26.4415   -109.9202
Easter   48.2000   -26.4657   -110.0655
Easter   48.6000   -26.4653   -110.1834
Easter   49.2000   -26.4926   -110.3929
Easter   49.6000   -26.5175   -110.5479
Easter   50.0000   -26.5625   -110.7005
Easter   50.2000   -26.5516   -110.8176
Easter   50.4000   -26.5440   -110.9527
Easter   50.6000   -26.5592   -111.0635
Easter   50.8000   -26.5752   -111.1786
Easter   51.4000   -26.6517   -111.2977
Easter   51.8000   -26.6612   -111.4312
Easter   52.4000   -26.7235   -111.5347
Easter   53.2000   -26.8101   -111.7032
Easter   53.6000   -26.8524   -111.8087
Easter   53.8000   -26.8617   -111.9239
